,title,link,source,topic
0,Kampus Merdeka Fair 2022 Digelar di 6 Kota Ini Tujuan dan Agenda Acaranya ,https://jurnalsoreang.pikiran-rakyat.com/pendidikan/pr-1015693036/kampus-merdeka-fair-2022-digelar-di-6-kota-ini-tujuan-dan-agenda-acaranya,Jurnal Soreang - Jurnal Soreang,Pendidikan
1,Perguruan Tinggi Diminta Sediakan Program Kampus Merdeka Mandiri ,https://www.kompas.id/baca/humaniora/2022/10/10/perguruan-tinggi-diminta-sediakan-program-kampus-merdeka-mandiri,kompas.id,Pendidikan
2,Program Kampus Merdeka akan Masuk ke Kampus di Bawah Kemenag ,https://www.republika.co.id/berita/riea65430/program-kampus-merdeka-akan-masuk-ke-kampus-di-bawah-kemenag,Republika Online,Pendidikan
3,SV UGM dan FISIP Unpad Sepakati Kerja Sama Merdeka Belajar,https://sv.ugm.ac.id/2022/09/19/sv-ugm-dan-fisip-unpad-sepakati-kerja-sama-merdeka-belajar-kampus-merdeka/?utm_source=rss&utm_medium=rss&utm_campaign=sv-ugm-dan-fisip-unpad-sepakati-kerja-sama-merdeka-belajar-kampus-merdeka,Sekolah Vokasi UGM,Pendidikan
4,Dukung Kampus Merdeka dengan Inovasi ,https://www.republika.co.id/berita/rinrt8430/dukung-kampus-merdeka-dengan-inovasi,Republika Online,Pendidikan
5,Kolaborasi Merdeka Belajar Kampus Merdeka UMM dan Forkom Pokdawris Kota Malang ,https://www.kliktimes.com/sastra-budaya/pr-7294914999/kolaborasi-merdeka-belajar-kampus-merdeka-umm-dan-forkom-pokdawris-kota-malang,Klik Times - Kliktimes,Pendidikan
6,Peserta Pertukaran Mahasiswa Merdeka Universitas Teknokrat Indonesia Diajak Mengenal Sejarah dan Kebudayaan Lampung ,https://kupastuntas.co/2022/10/17/peserta-pertukaran-mahasiswa-merdeka-universitas-teknokrat-indonesia-diajak-mengenal-sejarah-dan-kebudayaan-lampung,Kupastuntas.co,Pendidikan
7,Terapkan Kampus Merdeka LP3I Tingkatkan Pendidikan Vokasi ,https://www.tribunnews.com/pendidikan/2022/10/12/terapkan-kampus-merdeka-lp3i-tingkatkan-pendidikan-vokasi,Tribunnews.com,Pendidikan
8,Pascasarjana Unram Gelar Seminar Nasional Peningkatan Mutu Kampus Merdeka ,https://lombokpost.jawapos.com/pendidikan/12/10/2022/pascasarjana-unram-gelar-seminar-nasional-peningkatan-mutu-kampus-merdeka/,Lombok Post,Pendidikan
9,Mahasiswa Pilih Kotim Jalankan Program Merdeka Belajar Kampus Merdeka ,https://www.radarsampit.com/berita/mahasiswa-pilih-kotim-jalankan-program-merdeka-belajar-kampus-merdeka.html,radarsampit.com,Pendidikan
10,Mahasiswa ULM wujudkan Kampus Merdeka di pesantren binaan Adaro ,https://kalsel.antaranews.com/berita/343233/mahasiswa-ulm-wujudkan-kampus-merdeka-di-pesantren-binaan-adaro,ANTARA Kalimantan Selatan,Pendidikan
11,Merdeka Belajar Kampus Merdeka MBKM Mahasiswa Berani Keluar Zona Nyaman  Jurnalpost ,https://jurnalpost.com/merdeka-belajar-kampus-merdeka-mbkm-mahasiswa-berani-keluar-zona-nyaman/37681/,Jurnalpost,Pendidikan
12,Yudisium Ke,https://sinar5news.com/yudisium-ke-10-kampus-merdeka-ganesha-go-internasional/,Sinar5News.com,Pendidikan
13,Platform Kampus Merdeka Ternyata Dibuat Oleh Shadow Team ,https://www.beritasatu.com/news/982533/platform-kampus-merdeka-ternyata-dibuat-oleh-shadow-team,BeritaSatu.com,Pendidikan
14,Program Kampus Merdeka Pejuang Muda  Benuanta ,https://benuanta.co.id/index.php/2022/09/22/program-kampus-merdeka-pejuang-muda/88357/12/29/25/,benuanta.co.id,Pendidikan
15,Kemendikbudristek Buka Pelatihan Bangkit 2023 Gratis,https://www.detik.com/edu/perguruan-tinggi/d-6341671/kemendikbudristek-buka-pelatihan-bangkit-2023-gratis-semua-jurusan-bisa-ikut,detikcom,Pendidikan
16,Program Merdeka Belajar Kampus Merdeka Akan Hadir di BPS Provinsi Jambi ,https://jambi.tribunnews.com/2022/09/23/program-merdeka-belajar-kampus-merdeka-akan-hadir-di-bps-provinsi-jambi,Tribun Jambi,Pendidikan
17,7 Mahasiswa Unismuh Makassar Ikuti Magang Kampus Merdeka di KPU Kota Makassar ,https://makassar.tribunnews.com/2022/10/13/7-mahasiswa-unismuh-makassar-ikuti-magang-kampus-merdeka-di-kpu-kota-makassar,Tribun Timur,Pendidikan
18,Gandeng UPI BIG dukung Program Merdeka Belajar Kampus Merdeka ,https://www.depokpos.com/2022/10/gandeng-upi-big-dukung-program-merdeka-belajar-kampus-merdeka/,Depok Pos,Pendidikan
19,Unimma Susun Standar SPMI Merdeka Belajar Kampus Merdeka ,https://wartaterkini.news/unimma-susun-standar-spmi-merdeka-belajar-kampus-merdeka/,warta terkini news,Pendidikan
20,Mahasiswa Se,https://aceh.tribunnews.com/2022/10/17/mahasiswa-se-indonesia-ikut-kuliah-di-rumoh-manuskrip-aceh-milik-cek-midi,Serambinews.com,Pendidikan
21,Merdeka Belajar,https://www.kompasiana.com/gagasaninformasi/6328c9d808a8b538141f7983/merdeka-belajar-kampus-merdeka-saat-pandemi-di-universitas-negeri-jakarta,Kompasiana.com - Kompasiana.com,Pendidikan
22,Alumni Faperta UGM Lebih Berperan di Era Merdeka Belajar Kampus Merdeka ,https://www.krjogja.com/pendidikan/read/473592/alumni-faperta-ugm-lebih-berperan-di-era-merdeka-belajar-kampus-merdeka,Kedaulatan Rakyat,Pendidikan
23,Memanfaatkan Program Merdeka Belajar Kampus Merdeka MBKM untuk Meningkatkan CCPs Skill ,https://www.kompasiana.com/muthilathifahmajidah9494/63382487799ae166ce2ab052/memanfaatkan-program-merdeka-belajar-kampus-merdeka-mbkm-untuk-meningkatkan-ccps-skill,Kompasiana.com - Kompasiana.com,Pendidikan
24,Kolaborasi MojadiApp ,https://kumparan.com/wardhianti09ganis2001/kolaborasi-mojadiapp-universitas-budi-luhur-mendukung-program-kampus-merdeka-1yx1kL2aICH,Universitas Budi Luhur Mendukung Program Kampus Merdeka - kumparan.com - kumparan.com,Pendidikan
25,Ratusan Mahasiswa Vokasi Indonesia Mengikuti Program Kampus Merdeka IISMAVO di Kampus Ternama Dunia ,https://bangka.tribunnews.com/2022/09/24/ratusan-mahasiswa-vokasi-indonesia-mengikuti-program-kampus-merdeka-iismavo-di-kampus-ternama-dunia,Bangkapos.com,Pendidikan
26,Pengenalan Kehidupan Kampus bagi Mahasiswa Baru Universitas Duta Bangsa Surakarta ,https://www.kompasiana.com/liss77471/634d1917a65da8290f5b0f52/pengenalan-kehidupan-kampus-bagi-mahasiswa-baru-universitas-duta-bangsa-surakarta,Kompasiana.com - Kompasiana.com,Pendidikan
27,Prodi Ilkom Menangkan Hibah Program Kompetisi Kampus Merdeka ,https://kumparan.com/ksu/prodi-ilkom-menangkan-hibah-program-kompetisi-kampus-merdeka-1yzrKSWdYm7,kumparan.com - kumparan.com,Pendidikan
28,Program Kompetisi Kampus Merdeka Momentum Antarperguruan Tinggi Perkuat Sinergisitas ,https://www.suaramerdeka.com/pendidikan/pr-044944709/program-kompetisi-kampus-merdeka-momentum-antarperguruan-tinggi-perkuat-sinergisitas,Suara Merdeka - Suara Merdeka Network,Pendidikan
29,Civitas Akademis untuk Bertransformasi melalui Kampus Merdeka ,https://m.lampost.co/berita-civitas-akademis-untuk-bertransformasi-melalui-kampus-merdeka.html,LampostTV,Pendidikan
30,Ramah Tamah UGM Kagama dan Pertamina Hulu Rokan ,https://ugm.ac.id/id/berita/23065-ramah-tamah-ugm-kagama-dan-pertamina-hulu-rokan,Universitas Gadjah Mada,Pendidikan
31,Peningkatan Kualitas Mahasiswa Prodi Pendidikan Melaui Program Asistensi Mengajar ,https://www.kompasiana.com/intan2698/634c549308a8b52f264f10d6/peningkatan-kualitas-mahasiswa-prodi-pendidikan-melaui-program-asistensi-mengajar,Kompasiana.com - Kompasiana.com,Pendidikan
32,Pakar Menjawab Setelah Kemdikbud pakai model kemitraan vendor ala shadow organisation apa hasil dan dampaknya bagi dunia pendidikan ,https://theconversation.com/pakar-menjawab-setelah-kemdikbud-pakai-model-kemitraan-vendor-ala-shadow-organisation-apa-hasil-dan-dampaknya-bagi-dunia-pendidikan-192542,The Conversation Indonesia,Pendidikan
33,Dahului Kurikulum Kampus Merdeka Lulusan UISI Gresik Sudah Direkrut Berbagai Instansi Internasional ,https://surabaya.tribunnews.com/2022/10/09/dahului-kurikulum-kampus-merdeka-lulusan-uisi-gresik-sudah-direkrut-berbagai-instansi-internasional,Surya.co.id,Pendidikan
34,Lebih dari 18 Juta Guru Gunakan Platform Merdeka Mengajar di Daerah 3T ,https://gizmologi.id/news/18-juta-guru-merdeka-mengajar-di-daerah-3t/,Gizmologi - Gizmologi.ID,Pendidikan
35,Pembukaan KKN Merdeka Belajar Kampus Merdeka Membangun Desa Universitas Negeri Malang di Desa Rejosari Kecamatan Bantur Kabupaten Malang ,https://www.kompasiana.com/kknmbkmrejosari2022/633accbc4addee38e8146363/pembukaan-kuliah-kerja-nyata-merdeka-belajar-kampus-merdeka-membangun-desa-universitas-negeri-malang-di-desa-rejosari-kecamatan-bantur-kabupaten-malang,Kompasiana.com - Kompasiana.com,Pendidikan
36,InfoPublik ,https://infopublik.id/kategori/nusantara/675908/universitas-bung-hatta-launching-beasiswa-smart-entrepreneur,Universitas Bung Hatta Launching Beasiswa Smart Entrepreneur - InfoPublik,Pendidikan
37,Dirjen Bimas Hindu Benahi PTKH dengan penyusunan Pedoman Kurikulum Penelitian dan Pengabdian ,https://mataram.antaranews.com/berita/226097/dirjen-bimas-hindu-benahi-ptkh-dengan-penyusunan-pedoman-kurikulum-penelitian-dan-pengabdian,ANTARA Nusa Tenggara Barat,Pendidikan
38,Hibah PKKM Perkuat Kinerja Joint Teaching Ilmu Komunikasi UNSOED di UNIB  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,https://dikti.kemdikbud.go.id/kabar-dikti/kampus-kita/hibah-pkkm-perkuat-kinerja-joint-teaching-ilmu-komunikasi-unsoed-di-unib/,Direktorat Jenderal Pendidikan Tinggi,Pendidikan
39,Pelajari teknologi pengemasan mahasiswa Polbangtan Kementan tingkatkan mutu produk olahan ,https://jogja.antaranews.com/berita/581793/pelajari-teknologi-pengemasan-mahasiswa-polbangtan-kementan-tingkatkan-mutu-produk-olahan,ANTARA Jogja,Pendidikan
40,Kegiatan Bimbingan Karier Unika Ruteng Hadirkan Narasumber dari Beragam Latar Belakang ,https://voxntt.com/2022/10/17/kegiatan-bimbingan-karier-unika-ruteng-hadirkan-narasumber-dari-beragam-latar-belakang/90326/,VoxNtt.com,Pendidikan
41,Prodi Sastra Jepang Unand Gelar Konsinyering Penyusunan SOP Merdeka Belajar Kampus Merdeka ,https://padang.tribunnews.com/2022/10/10/prodi-sastra-jepang-unand-gelar-konsinyering-penyusunan-sop-merdeka-belajar-kampus-merdeka,Tribun Padang,Pendidikan
42,4 Fakta Startup Fabelio Pendiri Masuk Daftar Forbes Terbelit Gaji Karyawan hingga Pailit ,https://bisnis.tempo.co/read/1646102/4-fakta-startup-fabelio-pendiri-masuk-daftar-forbes-terbelit-gaji-karyawan-hingga-pailit,Bisnis Tempo.co,Pendidikan
43,Mahasiswa Pertukaran Pelajar Mencoba Ikuti Permainan Sumpit di Museum Wasaka Banjarmasin ,https://banjarmasin.tribunnews.com/2022/10/16/mahasiswa-pertukaran-pelajar-mencoba-ikuti-permainan-sumpit-di-museum-wasaka-banjarmasin,Banjarmasin Post,Pendidikan
44,Rektor Unud Lepas 1427 Wisudawan ,https://www.nusabali.com/berita/127442/rektor-unud-lepas-1427-wisudawan,NusaBali,Pendidikan
45,UTI Sambut 103 Peserta Pertukaran Mahasiswa Merdeka dari 59 Kampus se,https://kupastuntas.co/2022/09/26/uti-sambut-103-peserta-pertukaran-mahasiswa-merdeka-dari-59-kampus-se-indonesia,Kupastuntas.co,Pendidikan
46,Kunjungan Mahasiswa IPB dan Kelompok Tani Desa Sawahn di PT Agrikencana Perkasa ,https://www.kompasiana.com/onevillageoneceo4045/634d552f08a8b5410408c0c2/kunjungan-mahasiswa-ipb-dan-kelompok-tani-desa-sawahn-di-pt-agrikencana-perkasa,Kompasiana.com,Pendidikan
47,UISI Kukuhkan 425 Mahasiswa Baru Mulai Buka Kelas Profesional ,https://www.timesindonesia.co.id/read/news/432664/uisi-kukuhkan-425-mahasiswa-baru-mulai-buka-kelas-profesional,TIMES Indonesia,Pendidikan
48,Sebanyak 18 Dosen IBM UC Lulus Sertifikasi International ,https://www.harianbhirawa.co.id/sebanyak-18-dosen-ibm-uc-lulus-sertifikasi-international/,Harian Bhirawa,Pendidikan
49,Pelajar SMA Perlu Punya Soft Skill ,https://www.jawapos.com/surabaya/17/10/2022/pelajar-sma-perlu-punya-soft-skill/,JawaPos,Pendidikan
50,7 Program Beasiswa Google untuk Perempuan ,https://tekno.tempo.co/read/1646200/7-program-beasiswa-google-untuk-perempuan,Tekno Tempo,Pendidikan
51,Kemenristekdikti Berikan Dana Hibah untuk PKKM FFS Uhamka ,https://kumparan.com/humas-1661496637930342173/kemenristekdikti-berikan-dana-hibah-untuk-pkkm-ffs-uhamka-1z4A185GxH9,kumparan.com - kumparan.com,Pendidikan
52,Sekelompok Pria India Serbu Asrama Mahasiswi yang Terjadi Kemudian Amat Mengerikan  merdeka ,https://www.merdeka.com/dunia/sekelompok-pria-india-seru-asrama-mahasisw-yang-terjadi-kemudian-amat-mengerikan.html,Merdeka.com,Pendidikan
53,Profil Steven Indra Wibowo Pendiri Mualaf Center Indonesia Tutup Usia Setelah Salat Isya ,https://seleb.tempo.co/read/1646319/profil-steven-indra-wibowo-pendiri-mualaf-center-indonesia-tutup-usia-setelah-salat-isya,Seleb Tempo,Pendidikan
54,Rektor Unla Kenalkan Kebijakan Kampus Merdeka bagi 1109 Mahasiswa Baru Tahun Akademik 20222023 ,https://jabarekspres.com/berita/2022/09/19/rektor-unla-kenalkan-kebijakan-kampus-merdeka-bagi-1-109-mahasiswa-baru-tahun-akademik-2022-2023/,https://jabarekspres.com/,Pendidikan
55,Dukung Pemerintah Turunkan Angka Stunting Mahasiswa KKNT UTM lakukan program FGD di Desa Pejagan  Bangkalan  Jurnalpost ,https://jurnalpost.com/dukung-pemerintah-turunkan-angka-stunting-mahasiswa-kknt-utm-lakukan-program-fgd-di-desa-pejagan-bangkalan/38128/,Jurnalpost,Pendidikan
56,Mahasiswa MBKM,https://www.kompasiana.com/kkn_tunjungtirto22/634abadcde03f86ba765f3b2/mahasiswa-mbkm-md-um-lakukan-penanaman-tanaman-toga-dan-pembuatan-taman-toga-ditempat-wisata-kali-djaeng-desa-tunjungtirto-kabupaten-malang,Kompasiana.com - Kompasiana.com,Pendidikan
57,Wisuda ke XIX Universitas Yudharta Luluskan 594 Wisuda,https://radarbromo.jawapos.com/daerah/pasuruan/17/10/2022/wisuda-ke-xix-universitas-yudharta-luluskan-594-wisuda-wisudawati/,Radar Bromo,Pendidikan
58,PPK BEM FEB UNS Kembangkan UMKM Desa Karangturi Karanganyar ,https://muria.suaramerdeka.com/pendidikan/pr-075214012/ppk-bem-feb-uns-kembangkan-umkm-desa-karangturi-karanganyar,Suara Merdeka Muria - Suara Merdeka Muria,Pendidikan
59,ITN Malang Kukuhkan 575 Wisudawan Rektor Kami Terus Membangun Link dengan Industri ,https://jatim.tribunnews.com/2022/10/17/itn-malang-kukuhkan-575-wisudawan-rektor-kami-terus-membangun-link-dengan-industri,TribunJatim.com,Pendidikan
60,Ini Penyebab Tanah Longsor yang Tewaskan Mahasiswa UPI Bandung ,https://tekno.tempo.co/read/1645080/ini-penyebab-tanah-longsor-yang-tewaskan-mahasiswa-upi-bandung,Tekno Tempo,Pendidikan
61,PKKM Momen Perkuat Hubungan Baik Antarkampus Dibawah Naungan PGRI ,https://kuasakata.com/read/berita/61184-pkkm-momen-perkuat-hubungan-baik-antarkampus-dibawah-naungan-pgri,KuasaKata.com,Pendidikan
62,Mengulum Minyak Kayu Putih Hangatkan IKU Perguruan Tinggi ,https://www.medcom.id/pendidikan/news-pendidikan/xkEjdQ9K-mengulum-minyak-kayu-putih-hangatkan-iku-perguruan-tinggi,Medcom.Id,Pendidikan
63,5 Program Studi Institut Mekongga Kendari Sulawesi Tenggara Segera Buka Penerimaan Mahasiswa Baru ,https://sultra.tribunnews.com/2022/10/17/5-program-studi-institut-mekongga-kendari-sulawesi-tenggara-segera-buka-penerimaan-mahasiswa-baru,Tribunnews Sultra,Pendidikan
64,Wakasal dorong lulusan UHT bantu bangun pemikiran masyarakat di bidang maritim ,https://jatim.antaranews.com/berita/645645/wakasal-dorong-lulusan-uht-bantu-bangun-pemikiran-masyarakat-di-bidang-maritim,ANTARA Jawa Timur,Pendidikan
65,Resmi Lulus 600 Mahasiswa Universitas Wijaya Putra Surabaya Siap Terjun Ditengah Masyarakat Ini Pesan Rektor ,https://realita.co/baca-13368-resmi-lulus-600-mahasiswa-universitas-wijaya-putra-surabaya-siap-terjun-ditengah-masyarakat-ini-pesan-rektor,Realita.co,Pendidikan
66,Konaspi X Unima Nadiem Ingatkan Kampus Maksimalkan MBKM dan KIPK ,https://gawai.co/berita-utama/konaspi-x-unima-nadiem-ingatkan-kampus-maksimalkan-mbkm-dan-kipk/,Gawai.co,Pendidikan
67,Profil Shafira Rafa Ardhani Ikut IISMA Memperluas Koneksi Bertemu Profesor ,https://suryamalang.tribunnews.com/2022/10/17/profil-shafira-rafa-ardhani-ikut-iisma-memperluas-koneksi-bertemu-profesor,Suryamalang.com,Pendidikan
68,UI Kembali Jadi Kampus Terbaik di Indonesia Top 10 di Asia Tenggara ,https://tekno.tempo.co/read/1645028/ui-kembali-jadi-kampus-terbaik-di-indonesia-top-10-di-asia-tenggara,Tekno Tempo,Pendidikan
69,Surat Pemberitahuan Perpanjangan Pendaftaran Program Anugerah Academic Leaders 2022  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,https://dikti.kemdikbud.go.id/pengumuman/surat-pemberitahuan-perpanjangan-pendaftaran-program-anugerah-academic-leaders-2022/,Direktorat Jenderal Pendidikan Tinggi,Pendidikan
70,Alumnus UGM Berbagi Cerita Pengalaman Kerja di Perusahaan Startup ,https://www.ugm.ac.id/id/berita/23009-alumnus-ugm-berbagi-cerita-pengalaman-kerja-di-perusahaan-startup,Universitas Gadjah Mada,Pendidikan
71,Terus Berlanjut Program,https://dikti.kemdikbud.go.id/kabar-dikti/kabar/terus-berlanjut-program-program-kampus-merdeka-tahun-2022-siap-buka-pendaftaran/,Direktorat Jenderal Pendidikan Tinggi,Pendidikan
72,Jelajahi Alam Bawah Laut Amed Dosen Prodi IKL FKP Unud Lakukan Sertifikasi Selam ,https://baliportalnews.com/2022/10/jelajahi-alam-bawah-laut-amed-dosen-prodi-ikl-fkp-unud-lakukan-sertifikasi-selam/,Bali Portal News,Pendidikan
73,Unnes Kirim 2224 Mahasiswa ke 9 Daerah di Jateng untuk Apa ,https://www.medcom.id/pendidikan/news-pendidikan/GNGmGjrk-unnes-kirim-2-224-mahasiswa-ke-9-daerah-di-jateng-untuk-apa,Medcom.Id,Pendidikan
74,Prodi PGSD UPI Sumedang Penuhi Kriteria Akreditasi ,https://sumedang.jabarekspres.com/2022/10/17/prodi-pgsd-upi-sumedang-penuhi-kriteria-akreditasi/,Sumedang Ekspres - Sumedang Ekspres,Pendidikan
75,Pasar Ruby BUMN dan Digital Marketing Mahasiswa Ilmu Komunikasi Unisa Yogyakarta ,https://www.kompasiana.com/nurul30050/634b87d64addee59da2b90e2/pasar-ruby-bumn-dan-digital-marketing-mahasiswa-ilkom-unisa-yogya,Kompasiana.com - Kompasiana.com,Pendidikan
76,Dibuka Rektor Mahasiswa Peternakan Wilayah I Temu Ilmiah di Unja Gali Potensi Peternakan ,https://jambi.tribunnews.com/2022/10/17/dibuka-rektor-mahasiswa-peternakan-wilayah-i-temu-ilmiah-di-unja-gali-potensi-peternakan,Tribun Jambi,Pendidikan
77,Santri Penggerak Bangsa ,https://www.kompasiana.com/siti38765/634bba744addee646e007824/santri-penggerak-bangsa,Kompasiana.com - Kompasiana.com,Pendidikan
78,Diseminasi Program Merdeka Belajar Kampus Merdeka ,https://www.undip.ac.id/post/22983/diseminasi-program-merdeka-belajar-kampus-merdeka.html,Universitas Diponegoro,Pendidikan
79,SITH ITB Gelar Pelatihan Teknik Pembuatan Produk Turunan Arang dan Cuka Bambu Bagi Bumdes Cibugel ,https://inisumedang.com/sith-itb-gelar-pelatihan-teknik-pembuatan-produk-turunan-arang-dan-cuka-bambu-bagi-bumdes-cibugel/,IniSumedang.Com,Pendidikan
80,15 Mahasiswa UNG Usung Program KKN Pemandirian Pangan dan Stunting di Desa Tongo,https://gorontalo.tribunnews.com/2022/10/16/15-mahasiswa-ung-usung-program-kkn-pemandirian-pangan-dan-stunting-di-desa-tongo-gorontalo,Tribun Gorontalo,Pendidikan
81,Poltek Nuklir Jadi Pusat Pelatihan IAEA Asia Tenggara ,https://radarjogja.jawapos.com/pendidikan/2022/10/15/poltek-nuklir-jadi-pusat-pelatihan-iaea-asia-tenggara/,Radar Jogja,Pendidikan
82,Menunggu Hasil Nyata Program Kampus Merdeka ,https://news.unimal.ac.id/index/single/2927/menunggu-hasil-nyata-program-kampus-merdeka,News Unimal,Pendidikan
83,Dies Natalis ke,https://www.medcom.id/pendidikan/news-pendidikan/0k8aBr9K-dies-natalis-ke-14-polimedia-siap-wujudkan-5-bangga,Medcom.Id,Pendidikan
84,Kolaborasi dengan Pemprov Bali Untar Dukung Agenda G,https://www.beritasatu.com/news/989853/kolaborasi-dengan-pemprov-bali-untar-dukung-agenda-g20,BeritaSatu.com,Pendidikan
85,Program Bangkit dan Kampus Merdeka Luluskan 2517 Talenta Digital  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,https://dikti.kemdikbud.go.id/kabar-dikti/kabar/program-bangkit-dan-kampus-merdeka-luluskan-2-517-talenta-digital/,Direktorat Jenderal Pendidikan Tinggi,Pendidikan
86,Media Group Network,https://www.medcom.id/pendidikan/berita-kampus/4KZPQMJb-media-group-network-untar-kolaborasi-meningkatkan-keterampilan-generasi-muda,Medcom.Id,Pendidikan
87,Pencairan Dukungan Merdeka Belajar Kampus Merdeka 2021 Diteruskan di Tahun 2022  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,https://dikti.kemdikbud.go.id/kabar-dikti/kabar/pencairan-dukungan-merdeka-belajar-kampus-merdeka-2021-diteruskan-di-tahun-2022/,Direktorat Jenderal Pendidikan Tinggi,Pendidikan
88,108 Mahasiswa Magang Kampus Merdeka di BPJPH ,https://kemenag.go.id/read/108-mahasiswa-magang-kampus-merdeka-di-bpjph-zegde,Kemenag,Pendidikan
89,RDPU Bersama DPR Mahasiswa Kritik Program Kampus Merdeka ,https://nasional.kompas.com/read/2022/02/02/15420711/rdpu-bersama-dpr-mahasiswa-kritik-program-kampus-merdeka?page=all,Kompas.com - Nasional Kompas.com,Pendidikan
90,Kampus Merdeka Solusi Terbaik Cetak Lulusan sesuai Perkembangan Zaman  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,https://dikti.kemdikbud.go.id/kabar-dikti/kabar/kampus-merdeka-solusi-terbaik-cetak-lulusan-sesuai-perkembangan-zaman/,Direktorat Jenderal Pendidikan Tinggi,Pendidikan
91,Kampus Merdeka ,https://www.uii.ac.id/kampus-merdeka/,Universitas Islam Indonesia - Universitas Islam Indonesia,Pendidikan
92,OPINI Quo Vadis Kampus Merdeka Refleksi Ke Pembaharuan ,https://www.iainpare.ac.id/opini-quo-vadis-kampus-merdeka-refleksi-ke-pembaharuan/,IAIN PAREPARE,Pendidikan
93,Mahasiswa Penerima KIP Kuliah Tetap Bisa Ikut Program Kampus Merdeka ,https://www.kompas.com/edu/read/2022/08/17/095528371/mahasiswa-penerima-kip-kuliah-tetap-bisa-ikut-program-kampus-merdeka?page=all,Kompas.com - KOMPAS.com,Pendidikan
94,Advisory Board Sharing Session ke,https://itb.ac.id/berita/detail/58975/advisory-board-sharing-session-ke-11-sekolah-farmasi-itb-bahas-peran-bpom-untuk-negeri,- Institut Teknologi Bandung,Pendidikan
95,Merdeka Belajar Kampus Merdeka dan Pembelajaran Reflektif ,https://www.kompas.id/baca/opini/2022/03/15/merdeka-belajar-kampus-merdeka-dan-pembelajaran-reflektif,kompas.id,Pendidikan
96,Kampus Merdeka Gandeng Perguruan Tinggi Luar Negeri ,https://www.kompas.id/baca/dikbud/2022/05/17/kampus-merdeka-gandeng-perguruan-tinggi-luar-negeri,kompas.id,Pendidikan
97,4 Program Unggulan Kampus Merdeka Kemendikbud 2022 Mahasiswa Bersiap ,https://www.kompas.com/edu/read/2022/03/04/125102271/4-program-unggulan-kampus-merdeka-kemendikbud-2022-mahasiswa-bersiap?page=all,Kompas.com - KOMPAS.com,Pendidikan
